std,bw_mhz,fc_ghz,drone,scenario,scr_db,scr_ci,degenerate,N,pd,far,range_res_m,fD_hz,R_m
wifi,20,2.4,DJI Mavic 4 Pro,hover,nan,nan,True,122,0,1.812e-05,14.99,-0,174.8
wifi,20,2.4,DJI Mini 5 Pro,hover,nan,nan,True,122,0,1.812e-05,14.99,-0,174.8
wifi,80,5,DJI Mavic 4 Pro,hover,nan,nan,True,488,0,1.65e-05,3.747,-0,174.8
wifi,80,5,DJI Mini 5 Pro,hover,nan,nan,True,488,0,1.65e-05,3.747,-0,174.8
lte,5,1.8,DJI Mavic 4 Pro,hover,nan,nan,True,31,0,0.0001894,59.96,-0,174.8
lte,5,1.8,DJI Mini 5 Pro,hover,nan,nan,True,31,0,0.0001894,59.96,-0,174.8
lte,20,2.6,DJI Mavic 4 Pro,hover,nan,nan,True,122,0,1.812e-05,14.99,-0,174.8
lte,20,2.6,DJI Mini 5 Pro,hover,nan,nan,True,122,0,1.812e-05,14.99,-0,174.8
5g,20,3.5,DJI Mavic 4 Pro,hover,nan,nan,True,122,0,0,14.99,-0,174.8
5g,20,3.5,DJI Mini 5 Pro,hover,nan,nan,True,122,0,0,14.99,-0,174.8
5g,100,3.5,DJI Mavic 4 Pro,hover,nan,nan,True,610,0,0,2.998,-0,174.8
5g,100,3.5,DJI Mini 5 Pro,hover,nan,nan,True,610,0,0,2.998,-0,174.8
wifi,20,2.4,DJI Mavic 4 Pro,radial,22.64,0.1709,False,122,1,0,14.99,-178.9,174.8
wifi,20,2.4,DJI Mini 5 Pro,radial,16.68,0.3308,False,122,1,0,14.99,-178.9,174.8
wifi,80,5,DJI Mavic 4 Pro,radial,16.07,0.3062,False,488,1,1.667e-05,3.747,-372.7,174.8
wifi,80,5,DJI Mini 5 Pro,radial,10.48,0.4753,False,488,0.4167,1.667e-05,3.747,-372.7,174.8
lte,5,1.8,DJI Mavic 4 Pro,radial,16.19,0.3226,False,31,1,0.0002315,59.96,-134.2,174.8
lte,5,1.8,DJI Mini 5 Pro,radial,10.33,0.6211,False,31,0.2917,0.0002315,59.96,-134.2,174.8
lte,20,2.6,DJI Mavic 4 Pro,radial,16.86,0.3733,False,122,1,1.894e-05,14.99,-193.8,174.8
lte,20,2.6,DJI Mini 5 Pro,radial,10.81,0.79,False,122,0.625,1.894e-05,14.99,-193.8,174.8
5g,20,3.5,DJI Mavic 4 Pro,radial,14.57,0.4935,False,122,1,0,14.99,-260.9,174.8
5g,20,3.5,DJI Mini 5 Pro,radial,8.714,0.9026,False,122,0.2083,0,14.99,-260.9,174.8
5g,100,3.5,DJI Mavic 4 Pro,radial,6.808,1.126,False,610,0,0,2.998,-260.9,174.8
5g,100,3.5,DJI Mini 5 Pro,radial,3.903,0.9257,False,610,0,0,2.998,-260.9,174.8
wifi,20,2.4,DJI Mavic 4 Pro,tangential,nan,nan,True,122,0,1.812e-05,14.99,-1.285e-16,174.8
wifi,20,2.4,DJI Mini 5 Pro,tangential,nan,nan,True,122,0,1.812e-05,14.99,-1.285e-16,174.8
wifi,80,5,DJI Mavic 4 Pro,tangential,nan,nan,True,488,0,1.65e-05,3.747,-2.678e-16,174.8
wifi,80,5,DJI Mini 5 Pro,tangential,nan,nan,True,488,0,1.65e-05,3.747,-2.678e-16,174.8
lte,5,1.8,DJI Mavic 4 Pro,tangential,nan,nan,True,31,0,0.0001894,59.96,-9.639e-17,174.8
lte,5,1.8,DJI Mini 5 Pro,tangential,nan,nan,True,31,0,0.0001894,59.96,-9.639e-17,174.8
lte,20,2.6,DJI Mavic 4 Pro,tangential,nan,nan,True,122,0,1.812e-05,14.99,-1.392e-16,174.8
lte,20,2.6,DJI Mini 5 Pro,tangential,nan,nan,True,122,0,1.812e-05,14.99,-1.392e-16,174.8
5g,20,3.5,DJI Mavic 4 Pro,tangential,nan,nan,True,122,0,0,14.99,-1.874e-16,174.8
5g,20,3.5,DJI Mini 5 Pro,tangential,nan,nan,True,122,0,0,14.99,-1.874e-16,174.8
5g,100,3.5,DJI Mavic 4 Pro,tangential,nan,nan,True,610,0,0,2.998,-1.874e-16,174.8
5g,100,3.5,DJI Mini 5 Pro,tangential,nan,nan,True,610,0,0,2.998,-1.874e-16,174.8
wifi,20,2.4,DJI Mavic 4 Pro,doppler_switch,16.93,0.3098,False,122,1,0,14.99,-178.9,174.8
wifi,20,2.4,DJI Mini 5 Pro,doppler_switch,11.31,0.4741,False,122,0.625,0,14.99,-178.9,174.8
wifi,80,5,DJI Mavic 4 Pro,doppler_switch,11.22,0.4307,False,488,0.6667,1.528e-05,3.747,-372.7,174.8
wifi,80,5,DJI Mini 5 Pro,doppler_switch,7.036,0.6345,False,488,0.04167,1.528e-05,3.747,-372.7,174.8
lte,5,1.8,DJI Mavic 4 Pro,doppler_switch,12.21,0.5053,False,31,0.625,0.0002315,59.96,-134.2,174.8
lte,5,1.8,DJI Mini 5 Pro,doppler_switch,7.1,0.815,False,31,0.08333,0.0002315,59.96,-134.2,174.8
lte,20,2.6,DJI Mavic 4 Pro,doppler_switch,11.63,0.6386,False,122,0.7083,1.894e-05,14.99,-193.8,174.8
lte,20,2.6,DJI Mini 5 Pro,doppler_switch,6.694,0.9896,False,122,0,1.894e-05,14.99,-193.8,174.8
5g,20,3.5,DJI Mavic 4 Pro,doppler_switch,9.785,0.7733,False,122,0.2917,0,14.99,-260.9,174.8
5g,20,3.5,DJI Mini 5 Pro,doppler_switch,5.635,0.9205,False,122,0.04167,0,14.99,-260.9,174.8
5g,100,3.5,DJI Mavic 4 Pro,doppler_switch,4.666,0.8133,False,610,0,0,2.998,-260.9,174.8
5g,100,3.5,DJI Mini 5 Pro,doppler_switch,3.137,0.8633,False,610,0,0,2.998,-260.9,174.8
